datetime,symbol,open,high,low,close,volume
2023-03-31 09:15:00,NSE:AARTISURF,436.64999,459.89999,432.54999,453.70001,23162.0
2023-04-03 09:15:00,NSE:AARTISURF,460.04999,479.79999,454.95001,477.45001,13005.0
2023-04-05 09:15:00,NSE:AARTISURF,482.14999,487.5,467.25,470.35001,8050.0
2023-04-06 09:15:00,NSE:AARTISURF,470.35001,481.85001,469.04999,475.75,7152.0
2023-04-10 09:15:00,NSE:AARTISURF,475.5,570.90002,469.04999,570.90002,233401.0
2023-04-11 09:15:00,NSE:AARTISURF,594.0,643.79999,582.09998,611.29999,1069885.0
2023-04-12 09:15:00,NSE:AARTISURF,604.04999,619.90002,590.09998,599.79999,62791.0
2023-04-13 09:15:00,NSE:AARTISURF,604.90002,606.45001,571.0,578.15002,21224.0
2023-04-17 09:15:00,NSE:AARTISURF,577.90002,625.0,556.09998,602.54999,39560.0
2023-04-18 09:15:00,NSE:AARTISURF,607.0,623.90002,594.5,600.70001,21321.0
2023-04-19 09:15:00,NSE:AARTISURF,600.95001,609.75,582.0,587.45001,13290.0
2023-04-20 09:15:00,NSE:AARTISURF,591.90002,607.95001,578.34998,583.59998,13873.0
2023-04-21 09:15:00,NSE:AARTISURF,589.0,594.40002,581.04999,589.84998,6914.0
2023-04-24 09:15:00,NSE:AARTISURF,601.79999,619.95001,595.45001,607.20001,29659.0
2023-04-25 09:15:00,NSE:AARTISURF,613.0,613.0,595.54999,605.20001,10841.0
2023-04-26 09:15:00,NSE:AARTISURF,605.20001,607.54999,595.59998,598.65002,8469.0
2023-04-27 09:15:00,NSE:AARTISURF,590.59998,617.0,590.59998,613.59998,18686.0
2023-04-28 09:15:00,NSE:AARTISURF,678.0,719.34998,660.0,685.70001,382683.0
2023-05-02 09:15:00,NSE:AARTISURF,685.75,689.0,655.0,665.95001,43408.0
2023-05-03 09:15:00,NSE:AARTISURF,665.95001,665.95001,640.0,642.79999,26023.0
2023-05-04 09:15:00,NSE:AARTISURF,659.95001,659.95001,635.09998,637.15002,23002.0
2023-05-05 09:15:00,NSE:AARTISURF,636.15002,654.79999,636.0,638.70001,21205.0
2023-05-08 09:15:00,NSE:AARTISURF,642.84998,642.84998,630.5,636.0,13017.0
2023-05-09 09:15:00,NSE:AARTISURF,639.45001,647.40002,636.0,636.70001,12827.0
2023-05-10 09:15:00,NSE:AARTISURF,642.34998,645.0,631.04999,633.90002,9023.0
2023-05-11 09:15:00,NSE:AARTISURF,635.0,670.84998,634.95001,647.95001,25554.0
2023-05-12 09:15:00,NSE:AARTISURF,637.20001,650.0,637.20001,646.79999,7473.0
2023-05-15 09:15:00,NSE:AARTISURF,650.0,652.54999,637.29999,641.0,7362.0
2023-05-16 09:15:00,NSE:AARTISURF,647.45001,649.79999,636.04999,644.59998,6900.0
2023-05-17 09:15:00,NSE:AARTISURF,649.0,649.0,619.0,627.5,14147.0
2023-05-18 09:15:00,NSE:AARTISURF,632.45001,649.90002,625.09998,627.40002,6382.0
2023-05-19 09:15:00,NSE:AARTISURF,627.95001,637.40002,614.75,617.95001,6993.0
2023-05-22 09:15:00,NSE:AARTISURF,628.0,628.0,615.0,617.59998,6329.0
2023-05-23 09:15:00,NSE:AARTISURF,612.0,625.70001,611.0,615.40002,5814.0
2023-05-24 09:15:00,NSE:AARTISURF,615.0,625.0,612.0,617.65002,4377.0
2023-05-25 09:15:00,NSE:AARTISURF,622.0,645.09998,612.09998,636.75,12425.0
2023-05-26 09:15:00,NSE:AARTISURF,640.0,640.0,624.0,627.90002,4402.0
2023-05-29 09:15:00,NSE:AARTISURF,629.04999,634.45001,618.0,620.75,5261.0
2023-05-30 09:15:00,NSE:AARTISURF,623.15002,626.79999,612.0,614.04999,3051.0
2023-05-31 09:15:00,NSE:AARTISURF,614.0,617.95001,606.40002,615.45001,4003.0
2023-06-01 09:15:00,NSE:AARTISURF,620.95001,636.5,610.0,617.25,8347.0
2023-06-02 09:15:00,NSE:AARTISURF,616.65002,623.0,616.65002,622.15002,2026.0
2023-06-05 09:15:00,NSE:AARTISURF,628.34998,639.90002,620.0,634.5,10518.0
